PIO_CAPTURING...
PIO_CAPTURE_DONE count=32768 sample_hz=33250000.0
BEGIN_PIO_CAPTURE
sample_hz=33250000.0
idx,delta_ns,p6,fd7,fd6,fd5,fd4,fd3,fd2,fd1,fd0,reb,p16,p17,p18,p19,rst-,p21,p22
238,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
239,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
240,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
241,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
242,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
243,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
244,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
245,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
246,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
247,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
248,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
249,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
250,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
251,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
252,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
253,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
254,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
255,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
256,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
257,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
258,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
259,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
260,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
261,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
262,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
263,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
264,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
265,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
266,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
267,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
268,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
269,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
270,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
271,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
272,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
273,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
274,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
275,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
276,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
277,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
278,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
279,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
280,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
281,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
282,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
283,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
284,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
285,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
286,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
287,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
288,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
289,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
290,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
291,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
292,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
293,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
